_time,sender,subject,attachments,recipients,recipients_email_domain,leaver,termination,account_type,wordlist_attachment,wordlist_subject,bunit,department,user_response,final_outcome,policy_name,justifications
7/11/2025 13:41,sender1@examplebank.com,Monthly report,salary.txt,user25@examplebank.com,examplebank.com,Yes,1/14/2025,Admin,TRUE,FALSE,Finance,Legal,Reported,Malicious,Phishing Attempt,Subject contains suspicious keywords
7/25/2025 18:23,sender12@examplebank.com,access,,"user45@vendor.com,user8@examplebank.com","vendor.com,examplebank.com",No,1/15/2025,Privileged,FALSE,TRUE,Operations,Legal,Reported,Benign,Data Exfiltration,Multiple recipients and attachments
7/14/2025 22:00,sender5@examplebank.com,Monthly report,"confidential.zip,invoice.pdf,salary.zip",user45@freemail.com,freemail.com,No,1/16/2025,Privileged,TRUE,FALSE,Finance,Legal,Reported,Benign,Unauthorized Access,Multiple recipients and attachments
7/23/2025 22:56,sender8@examplebank.com,review,"invoice.txt,confidential.txt,salary.xlsx","user27@vendor.com,user18@partnerbank.com","vendor.com,partnerbank.com",Yes,1/17/2025,Standard,TRUE,TRUE,IT,Trading,Ignored,Malicious,Unauthorized Access,User flagged as high risk
7/18/2025 21:43,sender11@examplebank.com,payment access,"confidential.pdf,salary.txt,nda.docx","user45@freemail.com,user49@partnerbank.com","freemail.com,partnerbank.com",No,1/18/2025,Standard,TRUE,TRUE,Finance,Customer Service,Investigated,Benign,Data Exfiltration,Subject contains suspicious keywords
8/5/2025 13:51,sender10@examplebank.com,confidential urgent,salary.pdf,user45@freemail.com,freemail.com,Yes,1/19/2025,Privileged,TRUE,TRUE,Operations,Trading,No Action,Malicious,Phishing Attempt,Attachment flagged by wordlist
7/27/2025 10:58,sender11@examplebank.com,Monthly report,salary.txt,"user25@vendor.com,user42@freemail.com,user28@examplebank.com","vendor.com,freemail.com,examplebank.com",No,1/20/2025,Standard,TRUE,FALSE,Compliance,Legal,Ignored,False Positive,Suspicious Attachment,Subject contains suspicious keywords
8/1/2025 18:12,sender4@examplebank.com,Monthly report,,user16@examplebank.com,examplebank.com,Yes,1/21/2025,Privileged,FALSE,FALSE,Compliance,Trading,Ignored,Unclear,Phishing Attempt,Attachment flagged by wordlist
7/31/2025 10:00,sender7@examplebank.com,Monthly report,"confidential.docx,nda.pdf","user46@vendor.com,user28@partnerbank.com","vendor.com,partnerbank.com",No,1/22/2025,Standard,TRUE,FALSE,Compliance,Security,Ignored,Unclear,Phishing Attempt,Recipient outside organization
7/17/2025 6:23,sender16@examplebank.com,Monthly report,"contract.zip,nda.zip,confidential.xlsx","user19@freemail.com,user38@vendor.com,user25@examplebank.com","freemail.com,vendor.com,examplebank.com",No,1/23/2025,Privileged,TRUE,FALSE,IT,Risk,Reported,False Positive,Suspicious Attachment,Subject contains suspicious keywords
8/8/2025 6:24,sender10@examplebank.com,access,,user8@partnerbank.com,partnerbank.com,Yes,1/24/2025,Standard,FALSE,TRUE,Compliance,Legal,Reported,False Positive,Suspicious Attachment,Attachment flagged by wordlist
8/1/2025 10:21,sender7@examplebank.com,review,salary.pdf,user24@vendor.com,vendor.com,No,1/25/2025,Standard,TRUE,TRUE,HR,Risk,No Action,Malicious,Unauthorized Access,Recipient outside organization
8/4/2025 2:24,sender13@examplebank.com,Monthly report,"nda.zip,invoice.pdf","user27@examplebank.com,user26@partnerbank.com,user33@vendor.com","examplebank.com,partnerbank.com,vendor.com",No,1/26/2025,Standard,TRUE,FALSE,Finance,Trading,Reported,Benign,Suspicious Attachment,Multiple recipients and attachments
8/1/2025 10:21,sender6@examplebank.com,review,"salary.zip,contract.docx",user9@examplebank.com,examplebank.com,No,1/27/2025,Admin,TRUE,TRUE,Finance,Trading,No Action,Malicious,Data Exfiltration,User flagged as high risk
7/15/2025 17:34,sender4@examplebank.com,payment,"confidential.docx,invoice.xlsx",user17@freemail.com,freemail.com,No,1/28/2025,Admin,TRUE,TRUE,Operations,Trading,Ignored,False Positive,Data Exfiltration,Attachment flagged by wordlist
7/10/2025 3:10,sender18@examplebank.com,payment urgent,"confidential.xlsx,salary.pdf","user24@vendor.com,user6@examplebank.com,user30@freemail.com","vendor.com,examplebank.com,freemail.com",Yes,1/29/2025,Admin,TRUE,TRUE,Operations,Legal,Investigated,Unclear,Phishing Attempt,Recipient outside organization
8/2/2025 0:20,sender10@examplebank.com,payment,"nda.zip,confidential.zip,salary.docx","user17@freemail.com,user48@partnerbank.com","freemail.com,partnerbank.com",No,1/30/2025,Admin,TRUE,TRUE,Compliance,Customer Service,Reported,Malicious,Unauthorized Access,Attachment flagged by wordlist
8/1/2025 8:44,sender5@examplebank.com,review,salary.xlsx,"user17@freemail.com,user50@examplebank.com","freemail.com,examplebank.com",No,1/31/2025,Privileged,TRUE,TRUE,Finance,Legal,Investigated,Unclear,Unauthorized Access,User flagged as high risk
7/11/2025 21:58,sender16@examplebank.com,confidential,"nda.txt,salary.xlsx,contract.txt",user38@partnerbank.com,partnerbank.com,Yes,2/1/2025,Standard,TRUE,TRUE,Finance,Security,Investigated,False Positive,Suspicious Attachment,Attachment flagged by wordlist
7/16/2025 23:23,sender15@examplebank.com,access,,user13@vendor.com,vendor.com,Yes,2/2/2025,Admin,FALSE,TRUE,Operations,Trading,Reported,Malicious,Data Exfiltration,User flagged as high risk
8/6/2025 16:56,sender1@examplebank.com,payment access,contract.docx,user10@vendor.com,vendor.com,Yes,2/3/2025,Privileged,TRUE,TRUE,HR,Legal,Reported,Unclear,Unauthorized Access,Multiple recipients and attachments
7/22/2025 2:27,sender13@examplebank.com,Monthly report,"invoice.zip,salary.txt,nda.txt","user38@examplebank.com,user34@freemail.com","examplebank.com,freemail.com",No,2/4/2025,Privileged,TRUE,FALSE,IT,Customer Service,Reported,Benign,Suspicious Attachment,Multiple recipients and attachments
8/6/2025 0:45,sender5@examplebank.com,Monthly report,,user31@freemail.com,freemail.com,No,2/5/2025,Privileged,FALSE,FALSE,Compliance,Security,No Action,Malicious,Suspicious Attachment,User flagged as high risk
8/4/2025 2:32,sender9@examplebank.com,Monthly report,"confidential.zip,invoice.zip",user47@vendor.com,vendor.com,No,2/6/2025,Standard,TRUE,FALSE,Compliance,Customer Service,Ignored,Unclear,Unauthorized Access,Subject contains suspicious keywords
7/19/2025 8:37,sender9@examplebank.com,Monthly report,"contract.txt,nda.txt","user37@examplebank.com,user11@examplebank.com","examplebank.com,examplebank.com",Yes,2/7/2025,Standard,TRUE,FALSE,Compliance,Security,Investigated,False Positive,Suspicious Attachment,Subject contains suspicious keywords
7/28/2025 14:27,sender17@examplebank.com,review,"salary.pdf,confidential.xlsx,nda.zip","user11@examplebank.com,user45@vendor.com","examplebank.com,vendor.com",No,2/8/2025,Standard,TRUE,TRUE,IT,Customer Service,No Action,False Positive,Phishing Attempt,Recipient outside organization
7/30/2025 18:28,sender8@examplebank.com,urgent,"invoice.pdf,nda.txt","user6@vendor.com,user29@partnerbank.com,user39@examplebank.com","vendor.com,partnerbank.com,examplebank.com",No,2/9/2025,Admin,TRUE,TRUE,Operations,Customer Service,Investigated,False Positive,Data Exfiltration,Subject contains suspicious keywords
8/3/2025 12:55,sender12@examplebank.com,Monthly report,"nda.zip,salary.zip,confidential.docx","user5@freemail.com,user30@freemail.com,user35@freemail.com","freemail.com,freemail.com,freemail.com",No,2/10/2025,Privileged,TRUE,FALSE,Finance,Security,Ignored,False Positive,Suspicious Attachment,Subject contains suspicious keywords
8/7/2025 11:59,sender3@examplebank.com,review,"contract.pdf,invoice.txt",user16@vendor.com,vendor.com,No,2/11/2025,Admin,TRUE,TRUE,IT,Security,Investigated,False Positive,Phishing Attempt,Subject contains suspicious keywords
7/28/2025 14:42,sender14@examplebank.com,confidential access,"invoice.zip,confidential.zip",user21@examplebank.com,examplebank.com,No,2/12/2025,Standard,TRUE,TRUE,IT,Legal,Ignored,Malicious,Suspicious Attachment,User flagged as high risk
7/30/2025 20:43,sender1@examplebank.com,Monthly report,"invoice.txt,nda.txt",user15@partnerbank.com,partnerbank.com,Yes,2/13/2025,Standard,TRUE,FALSE,Finance,Security,Investigated,False Positive,Data Exfiltration,Multiple recipients and attachments
7/19/2025 17:22,sender5@examplebank.com,payment,,"user45@examplebank.com,user35@freemail.com","examplebank.com,freemail.com",Yes,2/14/2025,Standard,FALSE,TRUE,Finance,Trading,Ignored,Unclear,Phishing Attempt,Multiple recipients and attachments
7/10/2025 11:25,sender13@examplebank.com,review urgent,,user35@partnerbank.com,partnerbank.com,No,2/15/2025,Admin,FALSE,TRUE,Compliance,Customer Service,Reported,Benign,Data Exfiltration,Attachment flagged by wordlist
8/3/2025 13:06,sender19@examplebank.com,review,"invoice.xlsx,contract.zip,nda.xlsx",user36@partnerbank.com,partnerbank.com,Yes,2/16/2025,Privileged,TRUE,TRUE,Operations,Risk,No Action,Malicious,Data Exfiltration,Subject contains suspicious keywords
8/3/2025 12:36,sender20@examplebank.com,payment,"nda.pdf,salary.docx",user50@partnerbank.com,partnerbank.com,No,2/17/2025,Standard,TRUE,TRUE,Compliance,Legal,No Action,Malicious,Unauthorized Access,Attachment flagged by wordlist
7/10/2025 15:39,sender9@examplebank.com,Monthly report,"confidential.txt,salary.txt,contract.zip","user11@partnerbank.com,user42@partnerbank.com,user20@freemail.com","partnerbank.com,partnerbank.com,freemail.com",Yes,2/18/2025,Admin,TRUE,FALSE,Compliance,Security,Reported,Unclear,Data Exfiltration,Attachment flagged by wordlist
7/21/2025 2:07,sender11@examplebank.com,Monthly report,,"user7@partnerbank.com,user15@freemail.com","partnerbank.com,freemail.com",Yes,2/19/2025,Standard,FALSE,FALSE,Compliance,Customer Service,Reported,Unclear,Data Exfiltration,Attachment flagged by wordlist
8/6/2025 5:00,sender9@examplebank.com,payment confidential,"salary.zip,nda.docx,contract.zip",user39@examplebank.com,examplebank.com,Yes,2/20/2025,Standard,TRUE,TRUE,Operations,Security,Reported,Malicious,Unauthorized Access,Attachment flagged by wordlist
7/17/2025 23:48,sender5@examplebank.com,urgent confidential,salary.docx,user19@vendor.com,vendor.com,Yes,2/21/2025,Admin,TRUE,TRUE,Operations,Security,Reported,False Positive,Suspicious Attachment,Recipient outside organization
7/23/2025 10:17,sender15@examplebank.com,access payment,"contract.xlsx,confidential.docx,nda.txt","user30@freemail.com,user46@examplebank.com","freemail.com,examplebank.com",Yes,2/22/2025,Privileged,TRUE,TRUE,Compliance,Risk,Ignored,False Positive,Unauthorized Access,Recipient outside organization
7/29/2025 8:24,sender19@examplebank.com,urgent,"nda.txt,salary.xlsx",user17@vendor.com,vendor.com,No,2/23/2025,Admin,TRUE,TRUE,Compliance,Legal,Ignored,False Positive,Unauthorized Access,Recipient outside organization
7/19/2025 18:46,sender5@examplebank.com,confidential,,user13@partnerbank.com,partnerbank.com,No,2/24/2025,Standard,FALSE,TRUE,Finance,Security,No Action,Benign,Phishing Attempt,User flagged as high risk
7/17/2025 19:37,sender17@examplebank.com,Monthly report,confidential.zip,"user1@partnerbank.com,user9@partnerbank.com","partnerbank.com,partnerbank.com",Yes,2/25/2025,Privileged,TRUE,FALSE,HR,Risk,Ignored,Benign,Suspicious Attachment,Subject contains suspicious keywords
8/7/2025 1:00,sender4@examplebank.com,Monthly report,nda.txt,user25@partnerbank.com,partnerbank.com,Yes,2/26/2025,Standard,TRUE,FALSE,IT,Customer Service,Ignored,Malicious,Data Exfiltration,Attachment flagged by wordlist
8/1/2025 6:30,sender10@examplebank.com,Monthly report,confidential.xlsx,"user37@partnerbank.com,user33@partnerbank.com","partnerbank.com,partnerbank.com",Yes,2/27/2025,Admin,TRUE,FALSE,HR,Trading,Reported,Benign,Suspicious Attachment,User flagged as high risk
7/23/2025 8:20,sender7@examplebank.com,Monthly report,invoice.pdf,user4@examplebank.com,examplebank.com,No,2/28/2025,Privileged,TRUE,FALSE,IT,Customer Service,No Action,Unclear,Data Exfiltration,User flagged as high risk
7/23/2025 3:16,sender14@examplebank.com,payment,,user25@freemail.com,freemail.com,Yes,3/1/2025,Standard,FALSE,TRUE,Compliance,Risk,Ignored,Benign,Suspicious Attachment,Multiple recipients and attachments
7/18/2025 11:06,sender12@examplebank.com,Monthly report,invoice.docx,user9@freemail.com,freemail.com,No,3/2/2025,Standard,TRUE,FALSE,Finance,Security,No Action,Benign,Suspicious Attachment,Attachment flagged by wordlist
8/6/2025 6:51,sender12@examplebank.com,urgent,"salary.docx,contract.docx,invoice.txt","user14@partnerbank.com,user15@freemail.com,user12@partnerbank.com","partnerbank.com,freemail.com,partnerbank.com",No,3/3/2025,Admin,TRUE,TRUE,HR,Legal,Ignored,False Positive,Phishing Attempt,User flagged as high risk
7/21/2025 20:00,sender18@examplebank.com,review urgent,,user22@vendor.com,vendor.com,No,3/4/2025,Admin,FALSE,TRUE,Operations,Security,No Action,Unclear,Data Exfiltration,Attachment flagged by wordlist
7/23/2025 3:35,sender14@examplebank.com,access,"contract.txt,confidential.zip,invoice.zip",user28@partnerbank.com,partnerbank.com,No,3/5/2025,Admin,TRUE,TRUE,HR,Security,No Action,False Positive,Data Exfiltration,Recipient outside organization
7/23/2025 1:21,sender7@examplebank.com,access,,user43@examplebank.com,examplebank.com,Yes,3/6/2025,Standard,FALSE,TRUE,Compliance,Customer Service,Ignored,Malicious,Phishing Attempt,User flagged as high risk
8/5/2025 21:36,sender10@examplebank.com,payment confidential,"contract.pdf,invoice.zip","user13@freemail.com,user27@examplebank.com","freemail.com,examplebank.com",No,3/7/2025,Admin,TRUE,TRUE,Finance,Security,No Action,Benign,Phishing Attempt,Attachment flagged by wordlist
7/16/2025 23:09,sender2@examplebank.com,access confidential,"contract.zip,confidential.zip,nda.zip",user42@freemail.com,freemail.com,No,3/8/2025,Standard,TRUE,TRUE,IT,Risk,Reported,Malicious,Unauthorized Access,Recipient outside organization
7/12/2025 13:47,sender8@examplebank.com,Monthly report,invoice.xlsx,user35@partnerbank.com,partnerbank.com,No,3/9/2025,Privileged,TRUE,FALSE,HR,Legal,No Action,False Positive,Suspicious Attachment,Multiple recipients and attachments
7/24/2025 9:19,sender3@examplebank.com,payment urgent,"confidential.pdf,nda.pdf,salary.docx","user2@partnerbank.com,user25@freemail.com,user34@vendor.com","partnerbank.com,freemail.com,vendor.com",No,3/10/2025,Privileged,TRUE,TRUE,Compliance,Customer Service,Reported,Malicious,Suspicious Attachment,Attachment flagged by wordlist
7/16/2025 14:56,sender2@examplebank.com,access,,"user31@vendor.com,user38@freemail.com","vendor.com,freemail.com",No,3/11/2025,Privileged,FALSE,TRUE,HR,Legal,Investigated,Malicious,Phishing Attempt,Subject contains suspicious keywords
8/2/2025 1:19,sender16@examplebank.com,review,"nda.pdf,contract.zip,salary.xlsx","user40@partnerbank.com,user15@freemail.com,user5@vendor.com","partnerbank.com,freemail.com,vendor.com",Yes,3/12/2025,Privileged,TRUE,TRUE,HR,Security,Investigated,Benign,Suspicious Attachment,User flagged as high risk
7/23/2025 22:33,sender2@examplebank.com,urgent access,,"user31@vendor.com,user13@vendor.com","vendor.com,vendor.com",No,3/13/2025,Admin,FALSE,TRUE,Finance,Legal,Reported,Unclear,Unauthorized Access,Subject contains suspicious keywords
8/6/2025 15:45,sender17@examplebank.com,Monthly report,"salary.xlsx,invoice.txt",user9@vendor.com,vendor.com,Yes,3/14/2025,Admin,TRUE,FALSE,Finance,Security,Reported,Benign,Suspicious Attachment,User flagged as high risk
7/15/2025 5:07,sender18@examplebank.com,payment access,"salary.xlsx,contract.pdf",user49@examplebank.com,examplebank.com,No,3/15/2025,Privileged,TRUE,TRUE,HR,Customer Service,Reported,False Positive,Suspicious Attachment,User flagged as high risk
7/17/2025 20:22,sender8@examplebank.com,Monthly report,"contract.txt,nda.docx,invoice.xlsx",user5@vendor.com,vendor.com,Yes,3/16/2025,Standard,TRUE,FALSE,Compliance,Customer Service,No Action,Unclear,Suspicious Attachment,Multiple recipients and attachments
7/22/2025 11:56,sender8@examplebank.com,access urgent,"contract.pdf,salary.zip,nda.pdf","user44@examplebank.com,user26@freemail.com","examplebank.com,freemail.com",Yes,3/17/2025,Privileged,TRUE,TRUE,Compliance,Trading,Investigated,False Positive,Phishing Attempt,Recipient outside organization
7/27/2025 20:28,sender14@examplebank.com,Monthly report,,user7@partnerbank.com,partnerbank.com,Yes,3/18/2025,Standard,FALSE,FALSE,Operations,Trading,Reported,Malicious,Suspicious Attachment,Recipient outside organization
7/13/2025 15:54,sender9@examplebank.com,access confidential,,"user35@partnerbank.com,user23@freemail.com,user23@freemail.com","partnerbank.com,freemail.com,freemail.com",Yes,3/19/2025,Privileged,FALSE,TRUE,Finance,Security,Investigated,Benign,Data Exfiltration,Recipient outside organization
7/27/2025 0:36,sender1@examplebank.com,urgent confidential,"contract.xlsx,nda.docx,salary.xlsx","user44@examplebank.com,user6@freemail.com,user3@vendor.com","examplebank.com,freemail.com,vendor.com",No,3/20/2025,Privileged,TRUE,TRUE,Operations,Legal,Investigated,Unclear,Unauthorized Access,Attachment flagged by wordlist
7/25/2025 4:11,sender1@examplebank.com,Monthly report,"invoice.docx,nda.zip,contract.docx",user33@vendor.com,vendor.com,Yes,3/21/2025,Standard,TRUE,FALSE,HR,Trading,Ignored,False Positive,Suspicious Attachment,Recipient outside organization
8/8/2025 8:49,sender1@examplebank.com,urgent,nda.pdf,user42@examplebank.com,examplebank.com,No,3/22/2025,Admin,TRUE,TRUE,Compliance,Legal,Ignored,False Positive,Unauthorized Access,Multiple recipients and attachments
7/15/2025 4:13,sender1@examplebank.com,urgent,"confidential.xlsx,contract.docx",user4@examplebank.com,examplebank.com,No,3/23/2025,Privileged,TRUE,TRUE,Finance,Customer Service,Ignored,Unclear,Unauthorized Access,Attachment flagged by wordlist
7/20/2025 18:12,sender3@examplebank.com,Monthly report,,user38@vendor.com,vendor.com,Yes,3/24/2025,Privileged,FALSE,FALSE,Operations,Trading,Ignored,False Positive,Phishing Attempt,User flagged as high risk
8/3/2025 18:08,sender18@examplebank.com,review payment,"salary.pdf,confidential.docx","user10@partnerbank.com,user45@freemail.com,user31@examplebank.com","partnerbank.com,freemail.com,examplebank.com",Yes,3/25/2025,Admin,TRUE,TRUE,Finance,Trading,Ignored,False Positive,Data Exfiltration,Attachment flagged by wordlist
7/11/2025 20:58,sender18@examplebank.com,payment,"invoice.xlsx,nda.zip","user6@freemail.com,user18@partnerbank.com,user50@vendor.com","freemail.com,partnerbank.com,vendor.com",Yes,3/26/2025,Standard,TRUE,TRUE,Operations,Security,Investigated,Benign,Unauthorized Access,Recipient outside organization
7/28/2025 21:56,sender13@examplebank.com,urgent,,user16@freemail.com,freemail.com,Yes,3/27/2025,Standard,FALSE,TRUE,Operations,Legal,Ignored,Malicious,Data Exfiltration,Subject contains suspicious keywords
7/29/2025 20:27,sender4@examplebank.com,review urgent,contract.txt,"user35@freemail.com,user18@partnerbank.com,user38@freemail.com","freemail.com,partnerbank.com,freemail.com",No,3/28/2025,Standard,TRUE,TRUE,Finance,Security,No Action,Malicious,Data Exfiltration,Attachment flagged by wordlist
7/17/2025 0:14,sender8@examplebank.com,confidential,invoice.txt,user32@partnerbank.com,partnerbank.com,Yes,3/29/2025,Privileged,TRUE,TRUE,Finance,Risk,Ignored,Malicious,Phishing Attempt,Multiple recipients and attachments
7/31/2025 23:35,sender3@examplebank.com,Monthly report,,user10@vendor.com,vendor.com,Yes,3/30/2025,Standard,FALSE,FALSE,IT,Legal,Ignored,Benign,Suspicious Attachment,Attachment flagged by wordlist
7/13/2025 10:28,sender16@examplebank.com,payment,"nda.xlsx,salary.zip",user17@freemail.com,freemail.com,No,3/31/2025,Privileged,TRUE,TRUE,HR,Trading,Reported,Unclear,Unauthorized Access,User flagged as high risk
8/6/2025 10:28,sender2@examplebank.com,Monthly report,invoice.xlsx,"user15@partnerbank.com,user4@freemail.com","partnerbank.com,freemail.com",Yes,4/1/2025,Privileged,TRUE,FALSE,Compliance,Security,No Action,False Positive,Unauthorized Access,Attachment flagged by wordlist
8/6/2025 7:22,sender18@examplebank.com,payment,"nda.xlsx,confidential.xlsx,invoice.txt",user41@partnerbank.com,partnerbank.com,No,4/2/2025,Privileged,TRUE,TRUE,Operations,Security,Ignored,Benign,Phishing Attempt,User flagged as high risk
7/21/2025 15:18,sender16@examplebank.com,review,"nda.txt,contract.txt",user2@examplebank.com,examplebank.com,No,4/3/2025,Privileged,TRUE,TRUE,Compliance,Security,Ignored,Benign,Suspicious Attachment,User flagged as high risk
8/5/2025 0:27,sender3@examplebank.com,payment access,,"user33@examplebank.com,user14@examplebank.com,user2@vendor.com","examplebank.com,examplebank.com,vendor.com",Yes,4/4/2025,Standard,FALSE,TRUE,Operations,Security,Reported,Benign,Data Exfiltration,Recipient outside organization
8/4/2025 16:23,sender13@examplebank.com,Monthly report,"salary.zip,nda.zip,confidential.txt","user46@examplebank.com,user31@freemail.com,user43@vendor.com","examplebank.com,freemail.com,vendor.com",No,4/5/2025,Standard,TRUE,FALSE,HR,Risk,Ignored,Unclear,Phishing Attempt,Recipient outside organization
7/17/2025 1:09,sender2@examplebank.com,confidential,,user27@partnerbank.com,partnerbank.com,No,4/6/2025,Standard,FALSE,TRUE,HR,Security,Ignored,False Positive,Data Exfiltration,Recipient outside organization
7/10/2025 13:30,sender20@examplebank.com,confidential access,contract.xlsx,"user25@vendor.com,user8@partnerbank.com","vendor.com,partnerbank.com",No,4/7/2025,Privileged,TRUE,TRUE,Operations,Risk,Reported,Unclear,Phishing Attempt,User flagged as high risk
7/15/2025 13:34,sender19@examplebank.com,Monthly report,nda.txt,user42@partnerbank.com,partnerbank.com,No,4/8/2025,Admin,TRUE,FALSE,Finance,Customer Service,No Action,Malicious,Phishing Attempt,Attachment flagged by wordlist
7/23/2025 20:18,sender3@examplebank.com,review payment,contract.txt,user23@partnerbank.com,partnerbank.com,Yes,4/9/2025,Admin,TRUE,TRUE,Operations,Legal,Reported,Malicious,Phishing Attempt,Subject contains suspicious keywords
7/13/2025 17:28,sender19@examplebank.com,review,"confidential.zip,nda.zip","user34@vendor.com,user3@partnerbank.com","vendor.com,partnerbank.com",No,4/10/2025,Standard,TRUE,TRUE,Finance,Risk,No Action,False Positive,Phishing Attempt,Subject contains suspicious keywords
8/5/2025 1:38,sender4@examplebank.com,urgent,confidential.zip,user50@vendor.com,vendor.com,No,4/11/2025,Standard,TRUE,TRUE,Operations,Customer Service,Reported,Malicious,Data Exfiltration,Attachment flagged by wordlist
